09.07.2023; 20:30:20; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:28:33; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:28:33; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:27:39; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:27:31; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:27:31; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:23:24; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:23:14; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:23:13; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:10:20; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:08:43; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:08:43; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:07:14; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:05:27; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:05:27; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:02:45; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 20:01:06; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 20:01:06; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
09.07.2023; 20:00:22; 	Error: Failed to set get and/or set time. Backend, function in line: 683
09.07.2023; 19:59:39; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
09.07.2023; 19:59:39; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
